iter	Passed	Remaining
871	34492	5063
872	34535	5024
873	34577	4984
874	34617	4945
875	34656	4905
876	34698	4866
877	34739	4827
878	34783	4788
879	34821	4748
880	34863	4709
881	34902	4669
882	34947	4630
883	34989	4591
884	35033	4552
885	35074	4513
886	35116	4473
887	35138	4431
888	35182	4392
889	35223	4353
890	35264	4314
891	35306	4274
892	35346	4235
893	35386	4195
894	35431	4156
895	35469	4116
896	35510	4077
897	35551	4038
898	35593	3998
899	35636	3959
900	35677	3920
901	35717	3880
902	35760	3841
903	35803	3802
904	35847	3763
905	35890	3723
906	35935	3684
907	35978	3645
908	36025	3606
909	36075	3567
910	36118	3528
911	36164	3489
912	36207	3450
913	36252	3411
914	36300	3372
915	36342	3332
916	36385	3293
917	36426	3253
918	36463	3213
919	36506	3174
920	36548	3135
921	36590	3095
922	36631	3055
923	36652	3014
924	36697	2975
925	36740	2936
926	36789	2897
927	36833	2857
928	36874	2818
929	36894	2776
930	36937	2737
931	36977	2697
932	37018	2658
933	37056	2618
934	37096	2578
935	37138	2539
936	37184	2500
937	37225	2460
938	37271	2421
939	37313	2381
940	37358	2342
941	37400	2302
942	37442	2263
943	37485	2223
944	37525	2184
945	37569	2144
946	37611	2104
947	37653	2065
948	37693	2025
949	37734	1986
950	37776	1946
951	37819	1906
952	37859	1867
953	37901	1827
954	37942	1787
955	37988	1748
956	38074	1710
957	38133	1671
958	38175	1632
959	38216	1592
960	38256	1552
961	38298	1512
962	38335	1472
963	38379	1433
964	38420	1393
965	38462	1353
966	38501	1313
967	38541	1274
968	38581	1234
969	38621	1194
970	38665	1154
971	38709	1115
972	38754	1075
973	38798	1035
974	38849	996
975	38896	956
976	38938	916
977	38980	876
978	39022	837
979	39065	797
980	39108	757
981	39145	717
982	39187	677
983	39227	637
984	39265	597
985	39311	558
986	39348	518
987	39391	478
988	39430	438
989	39471	398
990	39513	358
991	39557	319
992	39601	279
993	39639	239
994	39685	199
995	39726	159
996	39766	119
997	39808	79
998	39846	39
999	39890	0
